,Make,N.Fatal.Crashes,N.Non.Fatal.Crashes,Total.Crashes,ratio.fatal.to.tot
219,"Nichols Rans, Inc.",1,0,1,1.0
220,Vickers,1,0,1,1.0
221,Lee Kolb,1,0,1,1.0
222,Roberto P. Garcia,1,0,1,1.0
223,Aerofab,1,0,1,1.0
224,Sadler,1,0,1,1.0
225,Ingraham,1,0,1,1.0
226,Luciani,1,0,1,1.0
227,Hillery W. Grice,1,0,1,1.0
228,Ac Mfg & Dev'T Co,1,0,1,1.0
229,Bruce E. Hotz,1,0,1,1.0
230,Aero Vodochody Aero. Works,1,0,1,1.0
231,Pietsch,1,0,1,1.0
232,Stits Flut-R-Bug,1,0,1,1.0
233,Diamond Aircraft Industry Inc,1,0,1,1.0
234,Hopkins,1,0,1,1.0
235,Carlton M. Cadwell,1,0,1,1.0
236,Diamond Aircraft,1,0,1,1.0
237,Indy Aircraft Ltd,1,0,1,1.0
238,Harms,1,0,1,1.0
239,North Wing,1,0,1,1.0
240,Sport Flight,1,0,1,1.0
241,Aeros,1,0,1,1.0
242,Huntington,1,0,1,1.0
243,Fairley Gooch,1,0,1,1.0
244,"Halderman, Floyd G.",1,0,1,1.0
245,Bowles Chris,1,0,1,1.0
246,Edson Robert W,1,0,1,1.0
247,Hoyle,1,0,1,1.0
248,Seibert Robert M,1,0,1,1.0
249,Silvaire,1,0,1,1.0
250,"Schweizer, N36289",1,0,1,1.0
251,Meyers,1,0,1,1.0
252,Ridge Lowell H,1,0,1,1.0
253,Paulistinha  56-C1,1,0,1,1.0
254,Downer Aircraft Industries,1,0,1,1.0
255,Aircraft Mfg & Development Co,1,0,1,1.0
256,Mudge Ray,1,0,1,1.0
257,Hansen,1,0,1,1.0
258,Goodyear,1,0,1,1.0
259,Cubcrafters,1,0,1,1.0
260,Roetman Ryland K Jr,1,0,1,1.0
261,Supinski Mark R,1,0,1,1.0
262,Ayres Corp,1,0,1,1.0
263,Cross-Capps,1,0,1,1.0
264,Nickel,1,0,1,1.0
265,Extra Flugzeugproduktions-Gmbh,1,0,1,1.0
266,M.C. Thomas,1,0,1,1.0
267,Truitt Peter,1,0,1,1.0
268,Mkii Corporation,1,0,1,1.0
269,Airborne,1,0,1,1.0
270,Beech Aircraft Corp,1,0,1,1.0
271,Helton,1,0,1,1.0
272,Ely,1,0,1,1.0
273,Evektor-Aerotechnik,1,0,1,1.0
274,Doggett Jack,1,0,1,1.0
275,"Wrb Associates, Llc.",1,0,1,1.0
276,Rajhamsa,1,0,1,1.0
277,Tupolev,1,0,1,1.0
278,Corvus,1,0,1,1.0
279,Consolidated Aeronautics Inc.,1,0,1,1.0
280,Sauer,1,0,1,1.0
281,Hallbauer,1,0,1,1.0
282,English Electric Lightning,1,0,1,1.0
283,Crawford,1,0,1,1.0
284,Pilatus Britten-Norman,1,0,1,1.0
285,Lyman Randall/Scott David,1,0,1,1.0
286,Dassault Falcon,1,0,1,1.0
287,Curtis-Wright,1,0,1,1.0
288,Gulfstream American Corp.,1,0,1,1.0
289,Ferguson William C,1,0,1,1.0
290,Saab-Scania,1,0,1,1.0
291,Mathis Melvin R,1,0,1,1.0
292,Murray,1,0,1,1.0
293,Frazier,1,0,1,1.0
294,Palen,1,0,1,1.0
295,Forster,1,0,1,1.0
296,Wsk-Pzl Meilec,1,0,1,1.0
297,Noorduyn,1,0,1,1.0
298,Moses Tim C,1,0,1,1.0
299,Fox Jack G,1,0,1,1.0
300,Partenavia Spa,1,0,1,1.0
301,Davis Daniel T,1,0,1,1.0
302,Mcdaniels,1,0,1,1.0
303,Gulfstream Aerospace Corp,1,0,1,1.0
304,Porterfield,1,0,1,1.0
305,Aerospatiale Alenia,1,0,1,1.0
306,Davis,1,0,1,1.0
307,Birchler Boyd,1,0,1,1.0
308,Kolb Company,1,0,1,1.0
309,C A Tecnam Srl,1,0,1,1.0
310,Chrapczynski,1,0,1,1.0
311,Fairchild Swearingen,1,0,1,1.0
312,Dta Sari,1,0,1,1.0
313,Evektor Aerotechnic,1,0,1,1.0
314,Amorde,1,0,1,1.0
315,Jahns,1,0,1,1.0
316,Extra Flugzeugbau,1,0,1,1.0
317,Aerotechnik,1,0,1,1.0
318,Progressive Aerodyne,1,0,1,1.0
319,Dusenberry,1,0,1,1.0
320,Krueger,1,0,1,1.0
321,Kelly,1,0,1,1.0
322,Piaggio Aero Industries S.P.A.,1,0,1,1.0
323,Air Creation,1,0,1,1.0
